Bonmin 1.7 using Cbc 2.8 and Ipopt 3.11
bonmin.time_limit 7200


******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I             1         OPT -2916.024       48 0.132008
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I             1         OPT -2916.0235       38 0.116007
NLP0014I             2         OPT -2827.9277       82 0.144009
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I             1         OPT -2827.9277       31 0.060003
Cbc0012I Integer solution of -2827.9277 found by DiveMIPFractional after 0 iterations and 0 nodes (0.92 seconds)
NLP0014I             2         OPT -2839.8388       47 0.136009
NLP0014I             3         OPT -2907.9783       45 0.128008
NLP0014I             4         OPT -2839.5337       47 0.144009
NLP0014I             5         OPT -2909.5691       44 0.132008
NLP0014I             6         OPT -2839.8388       47 0.140009
NLP0014I             7         OPT -2907.9783       44 0.132008
NLP0014I             8         OPT -2839.5337       45 0.132009
NLP0014I             9         OPT -2915.4023       43 0.128008
NLP0014I            10         OPT -2914.2742       45 0.128008
NLP0014I            11         OPT -2890.1556       44 0.132008
NLP0014I            12         OPT -2914.2742       46 0.132008
NLP0014I            13         OPT -2890.1556       44 0.132008
NLP0014I            14         OPT -2909.274       44 0.128008
NLP0014I            15         OPT -2854.4688       44 0.128008
NLP0014I            16         OPT -2909.274       46 0.132008
NLP0014I            17         OPT -2852.8974       42 0.120007
NLP0014I            18         OPT -2170.0302       43 0.124008
NLP0014I            19         OPT -2914.8584       40 0.120008
NLP0014I            20         OPT -2914.824       42 0.124008
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I            21         OPT -2905.2474       43 0.128008
NLP0014I            22         OPT -2913.024       41 0.120007
NLP0014I            23         OPT -2914.2515       41 0.124008
NLP0014I            24         OPT -2890.1556       44 0.124008
NLP0014I            25         OPT -2914.2869       43 0.128008
NLP0014I            26         OPT -2897.793       44 0.132008
NLP0014I            27         OPT -2892.1891       41 0.124008
NLP0014I            28         OPT -2897.793       44 0.128008
NLP0014I            29         OPT -2892.1891       39 0.120008
NLP0014I            30         OPT -2914.7893       45 0.132008
NLP0014I            31         OPT -2851.4688       45 0.132008
NLP0014I            32         OPT -2914.7893       45 0.132008
NLP0014I            33         OPT -2851.4688       45 0.128008
NLP0014I            34         OPT -2916.0127       41 0.116007
NLP0014I            35         OPT -2908.157       45 0.132008
NLP0014I            36         OPT -2915.4023       44 0.132009
NLP0014I            37         OPT -2574.0206       46 0.140008
NLP0014I            38         OPT -2914.9058       41 0.124008
NLP0014I            39         OPT -2886.4507       44 0.132008
NLP0014I            40         OPT -2914.9058       41 0.124007
